SignatureTime	PrioritizationTime	APFD	TimeToDetect
2.876924	0.023485	0.340707964602	6.732
2.876924	0.023485	0.570796460177	6.687
2.876924	0.023485	0.119469026549	6.716
2.876924	0.023485	0.137168141593	0.161
2.876924	0.023485	0.340707964602	6.732
2.876924	0.023485	0.367256637168	0.011
2.876924	0.023485	0.579646017699	5.416
2.876924	0.023485	0.579646017699	5.416
2.876924	0.023485	0.278761061947	6.62
2.876924	0.023485	0.278761061947	6.62
2.876924	0.023485	0.862831858407	6.71
2.876924	0.023485	0.553097345133	6.698
2.876924	0.023485	0.79203539823	5.059
2.876924	0.023485	0.340707964602	6.732
2.876924	0.023485	0.986725663717	11.794
2.876924	0.023485	0.438053097345	9.065
2.876924	0.023485	0.0840707964602	12.007
2.876924	0.023485	0.137168141593	0.161
2.876924	0.023485	0.0309734513274	12.007
2.876924	0.023485	0.517699115044	0.251
2.876924	0.023485	0.685840707965	7.952
2.876924	0.023485	0.340707964602	6.732
2.876924	0.023485	0.721238938053	0.012
2.876924	0.023485	0.438053097345	9.065
2.876924	0.023485	0.340707964602	6.732
2.876924	0.023485	0.0840707964602	12.007
2.876924	0.023485	0.455752212389	0.075
2.876924	0.023485	0.553097345133	6.698
2.876924	0.023485	0.553097345133	6.698
2.876924	0.023485	0.00442477876106	11.8
2.876924	0.023485	0.898230088496	0.009
2.876924	0.023485	0.261061946903	9.106
2.876924	0.023485	0.783185840708	6.663
2.876924	0.023485	0.340707964602	6.732
2.876924	0.023485	0.783185840708	6.663
2.876924	0.023485	0.438053097345	9.065
2.876924	0.023485	0.137168141593	0.161
2.876924	0.019752	0.986725663717	6.732
2.876924	0.019752	0.128318584071	6.716
2.876924	0.019752	0.986725663717	6.732
2.876924	0.019752	0.79203539823	6.687
2.876924	0.019752	0.128318584071	6.716
2.876924	0.019752	0.0752212389381	0.161
2.876924	0.019752	0.986725663717	6.732
2.876924	0.019752	0.508849557522	0.011
2.876924	0.019752	0.96017699115	5.416
2.876924	0.019752	0.96017699115	5.416
2.876924	0.019752	0.181415929204	6.62
2.876924	0.019752	0.181415929204	6.62
2.876924	0.019752	0.650442477876	6.71
2.876924	0.019752	0.296460176991	6.698
2.876924	0.019752	0.933628318584	5.059
2.876924	0.019752	0.986725663717	6.732
2.876924	0.019752	0.871681415929	11.794
2.876924	0.019752	0.464601769912	9.065
2.876924	0.019752	0.0663716814159	12.007
2.876924	0.019752	0.0752212389381	0.161
2.876924	0.019752	0.0132743362832	12.007
2.876924	0.019752	0.924778761062	0.251
2.876924	0.019752	0.712389380531	7.952
2.876924	0.019752	0.986725663717	6.732
2.876924	0.019752	0.62389380531	0.012
2.876924	0.019752	0.464601769912	9.065
2.876924	0.019752	0.986725663717	6.732
2.876924	0.019752	0.0663716814159	12.007
2.876924	0.019752	0.995575221239	0.075
2.876924	0.019752	0.296460176991	6.698
2.876924	0.019752	0.296460176991	6.698
