SignatureTime	PrioritizationTime	APFD	TimeToDetect
3.156072	0.009681	0.092	0.344
3.156072	0.009681	0.62	0.028
3.156072	0.009681	0.092	0.344
3.156072	0.009681	0.084	0.347
3.156072	0.009681	0.948	0.002
3.156072	0.009681	0.212	0.32
3.156072	0.009681	0.932	0.023
3.156072	0.009681	0.932	0.023
3.156072	0.009681	0.3	0.32
3.156072	0.009681	0.852	0.023
3.156072	0.009681	0.372	0.32
3.156072	0.009681	0.66	0.023
3.156072	0.009681	0.148	0.326
3.156072	0.009681	0.972	0.002
3.156072	0.009681	0.212	0.32
3.156072	0.009681	0.436	0.068
3.156072	0.009681	0.044	0.398
3.156072	0.009681	0.436	0.068
3.156072	0.009681	0.444	0.062
3.156072	0.009681	0.932	0.023
3.156072	0.009681	0.188	0.327
3.156072	0.009681	0.932	0.023
3.156072	0.009681	0.212	0.32
3.156072	0.009681	0.436	0.068
3.156072	0.009681	0.436	0.068
3.156072	0.009681	0.18	0.332
3.156072	0.008819	0.804	0.023
3.156072	0.008819	0.092	0.344
3.156072	0.008819	0.42	0.028
3.156072	0.008819	0.092	0.344
3.156072	0.008819	0.084	0.347
3.156072	0.008819	0.852	0.002
3.156072	0.008819	0.268	0.32
3.156072	0.008819	0.436	0.023
3.156072	0.008819	0.436	0.023
3.156072	0.008819	0.34	0.32
3.156072	0.008819	0.916	0.023
3.156072	0.008819	0.324	0.32
3.156072	0.008819	0.796	0.023
3.156072	0.008819	0.164	0.326
3.156072	0.008819	0.788	0.002
3.156072	0.008819	0.268	0.32
3.156072	0.008819	0.46	0.068
3.156072	0.008819	0.044	0.398
3.156072	0.008819	0.46	0.068
3.156072	0.008819	0.468	0.062
3.156072	0.008819	0.436	0.023
3.156072	0.008819	0.188	0.327
3.156072	0.008819	0.436	0.023
3.156072	0.008819	0.268	0.32
3.156072	0.008819	0.46	0.068
3.156072	0.008819	0.46	0.068
3.156072	0.008819	0.132	0.332
3.156072	0.009475	0.428	0.023
3.156072	0.009475	0.092	0.344
3.156072	0.009475	0.604	0.028
3.156072	0.009475	0.092	0.344
3.156072	0.009475	0.084	0.347
3.156072	0.009475	0.836	0.002
3.156072	0.009475	0.204	0.32
3.156072	0.009475	0.436	0.023
3.156072	0.009475	0.436	0.023
3.156072	0.009475	0.356	0.32
3.156072	0.009475	0.948	0.023
3.156072	0.009475	0.324	0.32
3.156072	0.009475	0.892	0.023
3.156072	0.009475	0.14	0.326
3.156072	0.009475	0.98	0.002
3.156072	0.009475	0.204	0.32
3.156072	0.009475	0.46	0.068
3.156072	0.009475	0.044	0.398
3.156072	0.009475	0.46	0.068
3.156072	0.009475	0.468	0.062
3.156072	0.009475	0.436	0.023
3.156072	0.009475	0.188	0.327
3.156072	0.009475	0.436	0.023
3.156072	0.009475	0.204	0.32
3.156072	0.009475	0.46	0.068
3.156072	0.009475	0.46	0.068
3.156072	0.009475	0.148	0.332
3.156072	0.008997	0.868	0.023
3.156072	0.008997	0.084	0.344
3.156072	0.008997	0.58	0.028
3.156072	0.008997	0.084	0.344
3.156072	0.008997	0.996	0.347
3.156072	0.008997	0.988	0.002
3.156072	0.008997	0.196	0.32
3.156072	0.008997	0.948	0.023
3.156072	0.008997	0.948	0.023
3.156072	0.008997	0.348	0.32
3.156072	0.008997	0.644	0.023
3.156072	0.008997	0.292	0.32
3.156072	0.008997	0.9	0.023
3.156072	0.008997	0.14	0.326
3.156072	0.008997	0.964	0.002
3.156072	0.008997	0.196	0.32
3.156072	0.008997	0.436	0.068
3.156072	0.008997	0.044	0.398
3.156072	0.008997	0.436	0.068
3.156072	0.008997	0.444	0.062
3.156072	0.008997	0.948	0.023
3.156072	0.008997	0.148	0.327
3.156072	0.008997	0.948	0.023
3.156072	0.008997	0.196	0.32
3.156072	0.008997	0.436	0.068
3.156072	0.008997	0.436	0.068
